Run No., Proc No., TBV(Ogawa),Cpre, H(%), Sex , Height(cm),Weight(kg),Yield, Vp, Vc, Vintarg, Vac, Time(min), Qin-pp, Qin-mr, Qch-mr,Time(mr),Time(PCA),Time(ExtPCA),Time(PIR_PLASMA),Time(PIR_NOPLASMA),Rpm(mr),Rpm(pp),Status
1,1,2999.06,150.00,0.40,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
1,2,2999.06,150.00,0.40,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
1,3,2999.06,150.00,0.40,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
2,1,2999.06,150.00,0.41,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
2,2,2999.06,150.00,0.41,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
2,3,2999.06,150.00,0.41,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
3,1,2999.06,150.00,0.42,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
3,2,2999.06,150.00,0.42,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
3,3,2999.06,150.00,0.42,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
4,1,2999.06,150.00,0.43,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
4,2,2999.06,150.00,0.43,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
4,3,2999.06,150.00,0.43,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
5,1,2999.06,150.00,0.44,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
5,2,2999.06,150.00,0.44,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
5,3,2999.06,150.00,0.44,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
6,1,2999.06,150.00,0.45,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
6,2,2999.06,150.00,0.45,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
6,3,2999.06,150.00,0.45,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
7,1,2999.06,150.00,0.46,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
7,2,2999.06,150.00,0.46,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
7,3,2999.06,150.00,0.46,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
8,1,2999.06,150.00,0.47,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
8,2,2999.06,150.00,0.47,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
8,3,2999.06,150.00,0.47,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
9,1,2999.06,150.00,0.48,1,122.00,45.00, 2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
9,2,2999.06,150.00,0.48,1,122.00,45.00, 3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
9,3,2999.06,150.00,0.48,1,122.00,45.00, 4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00, 3000.00,2
