current vp 0
1.50564 0 0.467429
1.50268 29.1305 0.468915
1.49975 57.9943 0.470394
1.49685 86.5943 0.471866
1.49398 114.934 0.473331
1.49115 143.015 0.474788
1.48835 170.841 0.476238
1.48558 198.416 0.477681
1.48284 225.741 0.479116
1.48013 252.819 0.480543
1.47745 279.653 0.481963
1.4748 306.247 0.483376
1.47218 332.602 0.48478
1.46959 358.721 0.486178
1.46703 384.607 0.487567
1.4645 410.262 0.488949
1.46199 435.69 0.490324
1.45952 460.892 0.49169
1.45707 485.871 0.493049
1.45464 510.63 0.4944
1.45225 535.171 0.495744
1.44988 559.496 0.497079
1.44754 583.608 0.498407
1.44522 607.51 0.499727
1.44293 631.203 0.501039
1.44067 654.689 0.502344
1.43843 677.972 0.50364
1.43622 701.054 0.504929
1.43403 723.936 0.50621
1.43186 746.621 0.507483
1.42972 769.112 0.508748
0.554763 791.409 0.510005
current vp 0
1.50564 0 0.467429
1.50268 29.1305 0.468915
1.49975 57.9943 0.470394
1.49685 86.5943 0.471866
1.49398 114.934 0.473331
1.49115 143.015 0.474788
1.48835 170.841 0.476238
1.48558 198.416 0.477681
1.48284 225.741 0.479116
1.48013 252.819 0.480543
1.47745 279.653 0.481963
1.4748 306.247 0.483376
1.47218 332.602 0.48478
1.46959 358.721 0.486178
1.46703 384.607 0.487567
1.4645 410.262 0.488949
1.46199 435.69 0.490324
1.45952 460.892 0.49169
1.45707 485.871 0.493049
1.45464 510.63 0.4944
1.45225 535.171 0.495744
1.44988 559.496 0.497079
1.44754 583.608 0.498407
1.44522 607.51 0.499727
1.44293 631.203 0.501039
1.44067 654.689 0.502344
1.43843 677.972 0.50364
1.43622 701.054 0.504929
1.43403 723.936 0.50621
1.43186 746.621 0.507483
1.42972 769.112 0.508748
0.554763 791.409 0.510005
current vp 0
1.50564 0 0.467429
1.50268 29.1305 0.468915
1.49975 57.9943 0.470394
1.49685 86.5943 0.471866
1.49398 114.934 0.473331
1.49115 143.015 0.474788
1.48835 170.841 0.476238
1.48558 198.416 0.477681
1.48284 225.741 0.479116
1.48013 252.819 0.480543
1.47745 279.653 0.481963
1.4748 306.247 0.483376
1.47218 332.602 0.48478
1.46959 358.721 0.486178
1.46703 384.607 0.487567
1.4645 410.262 0.488949
1.46199 435.69 0.490324
1.45952 460.892 0.49169
1.45707 485.871 0.493049
1.45464 510.63 0.4944
1.45225 535.171 0.495744
1.44988 559.496 0.497079
1.44754 583.608 0.498407
1.44522 607.51 0.499727
1.44293 631.203 0.501039
1.44067 654.689 0.502344
1.43843 677.972 0.50364
1.43622 701.054 0.504929
1.43403 723.936 0.50621
1.43186 746.621 0.507483
1.42972 769.112 0.508748
0.554763 791.409 0.510005
current vp 0
1.50564 0 0.467429
1.50268 29.1305 0.468915
1.49975 57.9943 0.470394
1.49685 86.5943 0.471866
1.49398 114.934 0.473331
1.49115 143.015 0.474788
1.48835 170.841 0.476238
1.48558 198.416 0.477681
1.48284 225.741 0.479116
1.48013 252.819 0.480543
1.47745 279.653 0.481963
1.4748 306.247 0.483376
1.47218 332.602 0.48478
1.46959 358.721 0.486178
1.46703 384.607 0.487567
1.4645 410.262 0.488949
1.46199 435.69 0.490324
1.45952 460.892 0.49169
1.45707 485.871 0.493049
1.45464 510.63 0.4944
1.45225 535.171 0.495744
1.44988 559.496 0.497079
1.44754 583.608 0.498407
1.44522 607.51 0.499727
1.44293 631.203 0.501039
1.44067 654.689 0.502344
1.43843 677.972 0.50364
1.43622 701.054 0.504929
1.43403 723.936 0.50621
1.43186 746.621 0.507483
1.42972 769.112 0.508748
0.554763 791.409 0.510005
current vp 0
1.50564 0 0.467429
1.50268 29.1305 0.468915
1.49975 57.9943 0.470394
1.49685 86.5943 0.471866
1.49398 114.934 0.473331
1.49115 143.015 0.474788
1.48835 170.841 0.476238
1.48558 198.416 0.477681
1.48284 225.741 0.479116
1.48013 252.819 0.480543
1.47745 279.653 0.481963
1.4748 306.247 0.483376
1.47218 332.602 0.48478
1.46959 358.721 0.486178
1.46703 384.607 0.487567
1.4645 410.262 0.488949
1.46199 435.69 0.490324
1.45952 460.892 0.49169
1.45707 485.871 0.493049
1.45464 510.63 0.4944
1.45225 535.171 0.495744
1.44988 559.496 0.497079
1.44754 583.608 0.498407
1.44522 607.51 0.499727
1.44293 631.203 0.501039
1.44067 654.689 0.502344
1.43843 677.972 0.50364
1.43622 701.054 0.504929
1.43403 723.936 0.50621
1.43186 746.621 0.507483
1.42972 769.112 0.508748
0.554763 791.409 0.510005
current vp 0
1.50564 0 0.467429
1.50268 29.1305 0.468915
1.49975 57.9943 0.470394
1.49685 86.5943 0.471866
1.49398 114.934 0.473331
1.49115 143.015 0.474788
1.48835 170.841 0.476238
1.48558 198.416 0.477681
1.48284 225.741 0.479116
1.48013 252.819 0.480543
1.47745 279.653 0.481963
1.4748 306.247 0.483376
1.47218 332.602 0.48478
1.46959 358.721 0.486178
1.46703 384.607 0.487567
1.4645 410.262 0.488949
1.46199 435.69 0.490324
1.45952 460.892 0.49169
1.45707 485.871 0.493049
1.45464 510.63 0.4944
1.45225 535.171 0.495744
1.44988 559.496 0.497079
1.44754 583.608 0.498407
1.44522 607.51 0.499727
1.44293 631.203 0.501039
1.44067 654.689 0.502344
1.43843 677.972 0.50364
1.43622 701.054 0.504929
1.43403 723.936 0.50621
1.43186 746.621 0.507483
1.42972 769.112 0.508748
0.554763 791.409 0.510005
current vp 19.3476
1.50367 19.3476 0.468415
1.50073 48.3009 0.469897
1.49782 76.9895 0.471371
1.49495 105.416 0.472838
1.4921 133.584 0.474298
1.48929 161.496 0.47575
1.48651 189.155 0.477195
1.48376 216.564 0.478633
1.48104 243.725 0.480063
1.47835 270.641 0.481485
1.47569 297.316 0.4829
1.47306 323.751 0.484308
1.47046 349.949 0.485708
1.46789 375.914 0.4871
1.46535 401.646 0.488484
1.46283 427.151 0.489861
1.46035 452.428 0.49123
1.45789 477.483 0.492592
1.45546 502.315 0.493946
1.45305 526.929 0.495292
1.45068 551.327 0.49663
1.44833 575.511 0.49796
1.446 599.483 0.499283
1.4437 623.246 0.500598
1.44143 646.802 0.501905
1.43918 670.153 0.503204
1.43696 693.302 0.504496
1.43476 716.252 0.505779
1.43259 739.003 0.507055
1.43044 761.559 0.508322
1.03585 783.921 0.509582
current vp 19.3476
1.50367 19.3476 0.468415
1.50073 48.3009 0.469897
1.49782 76.9895 0.471371
1.49495 105.416 0.472838
1.4921 133.584 0.474298
1.48929 161.496 0.47575
1.48651 189.155 0.477195
1.48376 216.564 0.478633
1.48104 243.725 0.480063
1.47835 270.641 0.481485
1.47569 297.316 0.4829
1.47306 323.751 0.484308
1.47046 349.949 0.485708
1.46789 375.914 0.4871
1.46535 401.646 0.488484
1.46283 427.151 0.489861
1.46035 452.428 0.49123
1.45789 477.483 0.492592
1.45546 502.315 0.493946
1.45305 526.929 0.495292
1.45068 551.327 0.49663
1.44833 575.511 0.49796
1.446 599.483 0.499283
1.4437 623.246 0.500598
1.44143 646.802 0.501905
1.43918 670.153 0.503204
1.43696 693.302 0.504496
1.43476 716.252 0.505779
1.43259 739.003 0.507055
1.43044 761.559 0.508322
1.03585 783.921 0.509582
current vp 38.6026
1.50172 38.6026 0.469399
1.4988 67.3799 0.470876
1.49591 95.8945 0.472346
1.49305 124.149 0.473808
1.49023 152.147 0.475263
1.48744 179.891 0.47671
1.48468 207.383 0.47815
1.48195 234.627 0.479583
1.47925 261.625 0.481008
1.47658 288.381 0.482425
1.47394 314.896 0.483835
1.47133 341.174 0.485238
1.46875 367.216 0.486633
1.4662 393.027 0.48802
1.46368 418.608 0.489399
1.46118 443.961 0.490771
1.45871 469.09 0.492135
1.45627 493.997 0.493491
1.45386 518.685 0.49484
1.45147 543.155 0.496181
1.44911 567.41 0.497514
1.44678 591.453 0.498839
1.44447 615.286 0.500157
1.44219 638.911 0.501466
1.43993 662.331 0.502768
1.4377 685.548 0.504062
1.4355 708.565 0.505348
1.43332 731.382 0.506627
1.43116 754.003 0.507897
1.42903 776.431 0.50916
0.0863687 798.666 0.510414
current vp 38.6026
1.50172 38.6026 0.469399
1.4988 67.3799 0.470876
1.49591 95.8945 0.472346
1.49305 124.149 0.473808
1.49023 152.147 0.475263
1.48744 179.891 0.47671
1.48468 207.383 0.47815
1.48195 234.627 0.479583
1.47925 261.625 0.481008
