#
#	This file lists the cassettes configured by the
#	administrator.  It is not a comprehensive list.
#	Rather, it represents the subset of REF numbers
#	that will come up in the listbox on the REF
#	number entry screen.
#
#	Each cassette has a 5 or 6 digit REF number and
#	an 8-digit admin code that encrypts the
#	functionality of the cassette. Also, a barcode
#	string is available so that those customers who
#	have a barcode reader available can scan a
#	barcode instead of manually selecting a REF
#	number.
#
#	Cassettes can be added or removed through the
#	machine config screen.  If a REF number exists in
#	both this file and cassette.dat, but with
#	different functionality or barcode listed, this
#	file overrides the other one.
#
#	A list of REF numbers and the sets they are
#	associated with is available from the MDC
#	(part number 377500017).
#
# ID	ADMIN CODE   	BARCODE
800400	9339283		h4137778004001E
800401	9306560		h4137778004011F
800403	9339235		h4137778004031H
800450	9306672		h4137778004501J
800451	9339491		h4137778004511K
800453	9339779		h4137778004531M
800500	364780		h4137778005001F
800550	329551		h4137778005501K
800551	362268		h4137778005511L
800553	328831		h4137778005531N
80300	9186795		010502058380300
80301	9219512		010502058380301
80307	9219032		010502058380307
80330	9183243		010502058380330
80337	9185147		010502058380337
80340   9342568		010502058380340
80349   9342136		010502058380349
80350	13503573	010502058380350
80351	13536262        h413803511 
80360	13501109	010502058380360
80370   10372493        010502058380370
80384   10240045        010502058380384
80400	9317675		010502058380400
80410	10383117	010502058380410
80411	10415966	h413804111
80413	10415806	010502058380413
80420	10412910	010502058380420
80421	10380093	h413804211
80440	9315755		010502058380440
80449	9350776		010502058380449
80450	9350792		010502058380450
80460	9317867		010502058380460
80470	14576339	010502058380470
80473	14576099	010502058380473
80479	14575619	010502058380479
80480	10413102	010502058380480
80483	10413278	010502058380483
80484   10380653        010502058380484
80490	9348616		010502058380490
80491	9315931		h413804911
80500	343124		010502058380500
80510   343668		010502058380510
80520	4569737		010502058380520
80521	4537050         h413805211
80537	306119		010502058380537
80550	340980		010502058380550
80700	275668		010502058380700

file_version=6.110
