5.R String Id,5.2 String Id
textEmptyFormatCatNum,DCL_TEXT_BLANK
textStatCfgMachEnterCatNum,DCL_TEXT_MACH_STAT_LINE_ENTER_CAT_NUM
textStatCfgMachEnterSetCode,DCL_TEXT_MACH_STAT_LINE_ENTER_SET_CODE
textStatCfgMachBadCatNum,DCL_TEXT_MACH_STAT_LINE_BAD_CAT_NUM
textStatCfgMachBadSetCode,DCL_TEXT_MACH_STAT_LINE_BAD_SET_CODE
textStatCfgMachSuccess,DCL_TEXT_MACH_STAT_LINE_SUCCESS
textStatCfgMachBadPair,DCL_TEXT_MACH_STAT_LINE_BAD_PAIR
textButtonCfgMachSetId,DCL_TEXT_CFG_MACH_SET_ID
textButtonCfgMachAdminCode,DCL_TEXT_CFG_MACH_SET_CODE
textButtonCfgLongMachAddCassette,DCL_TEXT_CFG_MACH_ADD_CASSETTE
textMiscAasSealDetach,DCL_TEXT_MSS_SEAL_DETACH_PRODUCTS
textStatAasSealDetach,DCL_TEXT_MSS_SEAL_DETACH_STAT
textStatAasRemoveDisp,DCL_TEXT_MSS_REMOVE_STAT
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_MSS_PROGRESS
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_PLT_SOL
textMiscSealDetachAc,DCL_TEXT_MSS_REMOVE_AC_BOX
textMiscRemoveAcLine,DCL_TEXT_MSS_REMOVE_AC_LINE
textButtonOverrideDefaultPasBagVol,DCL_TEXT_MSS_OVERRIDE_DF_BAG_VOL_BUTT
textMiscPasNumBags,DCL_TEXT_MSS_NUM_BAGS
textMiscBreakPasLineFrang,DCL_TEXT_MSS_PLAT_LINE_FRANG
TEXT_MSS_2_BREAK_FRANG,DCL_TEXT_MSS_2_BREAK_FRANG
textMiscConnectPas,DCL_TEXT_MSS_PLAT_CONNECT
textStatAasClampChannel,DCL_TEXT_MSS_CLAMP_CHANNEL_STAT
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_MSS_CLAMP_CHANNEL
textMiscChannelTest,DCL_TEXT_MSS_CHANNEL_TEST
textAlarmBodyNoGraphicAcClosFailAas,DCL_TEXT_MSS_AC_CLOS_FAIL_ALARM
textStatAlarmAcClosureFailure,DCL_TEXT_MSS_AC_CLOS_FAIL_ALARM_STAT
textAlarmBodyWithGraphicAcClosFailAas,DCL_TEXT_MSS_AC_CLOS_FAIL_ALERT
textStatAlarmAcClosureError,DCL_TEXT_MSS_AC_CLOS_FAIL_ALERT_STAT
textAlarmBodyWithGraphicFluidAtAcAas,DCL_TEXT_MSS_FLUID_AT_AC_ALERT
textStatAlarmFluidAtAcAas,DCL_TEXT_MSS_FLUID_AT_AC_ALERT_STAT
textAlarmBodyNoGraphicClampClosureAas,DCL_TEXT_MSS_CLAMP_CLOS_FAIL_ALARM
textStatAlarmAasClampClosureFailure,DCL_TEXT_MSS_CLAMP_CLOS_FAIL_ALARM_STAT
textAlarmBodyWithGraphicAasClampClosAdditionFailure,DCL_TEXT_MSS_CLAMP_CLOS_FAIL_ALERT
textAlarmBodyWithGraphicAasClampClosAddition,DCL_TEXT_MSS_CLAMP_CLOS_FAIL_ADDITION_ALERT
textStatAlarmAasClampClosureError,DCL_TEXT_MSS_CLAMP_CLOS_FAIL_ALERT_STAT
textAlarmBodyWithGraphicPasPrimeEarly,DCL_TEXT_MSS_SS_PRIME_TOO_SOON_PLT_ALERT
textStatAlarmPasPrimeEarly,DCL_TEXT_MSS_SS_PRIME_TOO_SOON_PLT_ALERT_STAT
textAlarmBodyWithGraphicPasPrimeLate,DCL_TEXT_MSS_SS_PRIME_DELAY_PLT_ALERT
textStatAlarmPasPrimeLate,DCL_TEXT_MSS_SS_PRIME_DELAY_PLT_ALERT_STAT
textAlarmBodyNoGraphicApsHighAas,DCL_TEXT_MSS_APS_PRES_2_HI_ALARM
textStatAlarmApsHighAasFailure,DCL_TEXT_MSS_APS_PRES_2_HI_ALARM_STAT
textAlarmBodyWithGraphicApsHighAas,DCL_TEXT_MSS_APS_PRES_2_HI_ALERT
textStatAlarmApsHighAas,DCL_TEXT_MSS_APS_PRES_2_HI_ALERT_STAT
textStatPasEmpty,DCL_TEXT_MSS_PLT_SS_EMPTY_STAT
textMiscPasEmpty,DCL_TEXT_MSS_PLT_SS_EMPTY
textAlarmBodyNoGraphicApsHighAas,DCL_TEXT_MSS_APS_PRES_2_HI_ALARM
textStatAlarmApsHighAasFailure,DCL_TEXT_MSS_APS_PRES_2_HI_ALARM_STAT
textListboxItemCfgOn,DCL_TEXT_ON
textListboxItemCfgOff,DCL_TEXT_OFF
textMiscDoubleDash,DCL_TEXT_DOUBLE_DASH
textButtonLabelCfgLeftAutoProcPasToggle,DCL_TEXT_PPC_AUTO_MSS
textCfgColLabelCfgPltPasVol,DCL_TEXT_CFG_SSVOL_LABEL
textCfgScreenLabelAutoProc,DCL_TEXT_MSS
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_CFG_MS_LABEL
textCfgColLabelCfgPltPercentPlasma,DCL_TEXT_CFG_CARRYOVER_LABEL
textButtonLabelCfgLeftAutoProcPasBagVol,DCL_TEXT_CFG_SSBAGVOLM
textButtonLabelCfgLeftAutoProcPasSplitNotifToggle,DCL_TEXT_CFG_PLT_MSS_SPLIT_NOTIF_LBL
textButtonLabelCfgLeftAutoProcPasOverrideToggle,DCL_TEXT_CFG_ENABLE_SSBAGVOLM_OVERRIDE
textAlarmBodyNoGraphicCpsHighAas,DCL_TEXT_MSS_CPS_TOO_HIGH_ALARM
textStatAlarmCpsHighAas,DCL_TEXT_MSS_CPS_TOO_HIGH_ALARM_STAT
textMiscAasDontSealProducts,DCL_TEXT_MSS_DONT_SEAL_PRODUCTS
textMiscAasDontSealProductsMiddle,DCL_TEXT_MSS_DONT_SEAL_PRODUCTS
textMiscAasPrime,DCL_TEXT_MSS_PRIMING_TEXT
textStatConnectPas,DCL_TEXT_MSS_CONNECT_PLT
textMiscPltPasSplitInstruct,DCL_TEXT_MSS_PLT_ADD_PAUSE
textStatPasPause,DCL_TEXT_MSS_PLT_ADD_PAUSE_TITLE
textStatAasActivePrime,DCL_TEXT_MSS_ACTIVE_PRIME
textStatAasActiveAddition,DCL_TEXT_MSS_ACTIVE_ADD
textProdVerifReasonRinsebackNotCompleted,DCL_TEXT_REASON_RINSEBACK_NOT_COMPLETED
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_REASON_METERED_PROCESS_ERROR
textProdVerifReasonAasVolError,DCL_TEXT_REASON_METERED_VOLUME_ERROR
textAlarmBodyNoGraphicCrvHigh,DCL_TEXT_CRV_TOO_HIGH_ERROR
textStatAlarmCrvHigh,DCL_TEXT_CRV_TOO_HIGH_ERROR_STAT
textAlarmBodyNoGraphicInletVolAas,DCL_TEXT_MSS_INLET_VOLM_ALARM
textStatAlarmInletVolmAas,DCL_TEXT_MSS_INLET_VOLM_ALARM_STAT
textDataLabelRs2PasVol,DCL_TEXT_RS2LAB_SS_PLAT_VOL
TEXT_MSS_PLT_PROGRESS_LABEL,DCL_TEXT_RS2LAB_SS_PLAT_VOL
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_RESERVOIR_RETURN_ALERT_02
textStatAlarmResReturnAlert02,DCL_TEXT_RESERVOIR_RETURN_ALERT_STAT_02
