#
#	This file lists the cassettes configured by the
#	administrator.  It is not a comprehensive list.
#	Rather, it represents the subset of REF numbers
#	that will come up in the listbox on the REF
#	number entry screen.
#
#	Each cassette has a 5 or 6 digit REF number and
#	an 8-digit admin code that encrypts the
#	functionality of the cassette. Also, a barcode
#	string is available so that those customers who
#	have a barcode reader available can scan a
#	barcode instead of manually selecting a REF
#	number.
#
#	Cassettes can be added or removed through the
#	machine config screen.  If a REF number exists in
#	both this file and cassette.dat, but with
#	different functionality or barcode listed, this
#	file overrides the other one.
#
#	A list of REF numbers and the sets they are
#	associated with is available from the MDC
#	(part number 377500017).
#
# ID	ADMIN CODE   	BARCODE
800400	9339283		h4137778004001E
800401	9306560		h4137778004011F
800403	9339235		h4137778004031H
800450	9306672		h4137778004501J
800451	9339491		h4137778004511K
800453	9339779		h4137778004531M
800500	364780		h4137778005001F
800550	329551		h4137778005501K
800551	362268		h4137778005511L
800553	328831		h4137778005531N
80300	9186795		010502058380300
80301	9219512		010502058380301
80307	9219032		010502058380307
80310   10283726	010502058380310
80330	9183243		010502058380330
80337	9185147		010502058380337
80340   9342568		010502058380340
80349   9342136		010502058380349
80350	   13503573	   010502058380350
80351	13536262        h413803511 
80355	80633750	010502058380355
80360	13501109	010502058380360
80365	80611221	010502058380365
80370    10372493 010502058380370
80384   10240045        010502058380384
80400	9317675	010502058380400
80405	76441113	010502058380405
80410	10383117	010502058380410
80411	10415966	h413804111
80413	10415806	010502058380413
80420	10412910	010502058380420
80421	10380093	h413804211
80440	9315755		010502058380440
80449	9350776		010502058380449
80450	9350792		010502058380450
80460	9317867		010502058380460
80470	14576339	010502058380470
80473	14576099	010502058380473
80479	14575619	010502058380479
80480	10413102	010502058380480
80483	10413278	010502058380483
80484   10380653        010502058380484
80490	9348616		010502058380490
80491	9315931		h413804911
80500	343124		010502058380500
80510   343668		010502058380510
80520	4569737		010502058380520
80521	4537050         h413805211
80525	71644337    010502058380525
80537	2370507		010502058380537
80550	340980		010502058380550
80700	275668		010502058380700
82300	76346456    010502058382300
82310 77347861    010502058382310
82321	71496441    010502058382321
82330	76287094    010502058382330
82337	76337279    010502058382337
82350	80657896	   010502058382350
82383 77334536    010502058382383
82400	76473453    010502058382400
82405	76456045    010502058382405
82408	76465262    010502058382408
82410	77523976	   010502058382410
82420	77526029    010502058382420
82438 76422271    010502058382438
82440	76432508    010502058382440
82460 77485084    010502058382460
82470	81698189    010502058382470
82483	77469712    010502058382483
82500	67438440    010502058382500
82520	71644917    010502058382520
82525	71660277    010502058382525
82650 80620992	   010502058382650
82655 80636352    010502058382655
82660	80655817    010502058382660
82665	80662986    010502058382665
82668	80647626    010502058382668
82700	67385191    010502058382700
82737	69473185    010502058382737
80406    9317579    010502058380406
80446    9315403    010502058380446
82406    76455021   010502058382406
82416    76457067   010502058382416
82446    76430460   010502058382446
file_version=12.4.0.1
